gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,set,status
ENSG00000260233,RP11-856B14.1,t2d,0.284554169663926,5.40456752908954e-07,0.0001079853786694,1.634e-07,11.4873,2074.0,0.976614259480069,fdr_core_strong,strong (FDR-core)
ENSG00000235513,RP4-756G23.5,t2d,0.216389271071411,5.54040402420701e-06,0.0007198943185691,9.51e-07,11.8448,2380.0,0.936516722994261,fdr_core_strong,strong (FDR-core)
ENSG00000226920,RP5-1068B5.3,t2d,-0.939883123466774,1.62964898396809e-06,0.0002594706741661,1.864e-09,7.218,3028.0,0.852114495602402,fdr_core_strong,strong (FDR-core)
ENSG00000085721,RRN3,t2d,0.216115413915693,2.76773320376328e-05,0.00229294319889,3.025e-05,25.2032,1929.0,0.923805536292926,fdr_core_strong,strong (FDR-core)
ENSG00000242142,SERBP1P3,t2d,0.0624938910965816,5.36831988530008e-07,0.0001079853786694,6.238e-08,41.8187,2656.0,0.979895229794206,fdr_core_strong,strong (FDR-core)
ENSG00000142669,SH3BGRL3,t2d,-0.466378953637279,3.3965348142952e-07,7.866065854015475e-05,1.251e-07,15.5404,2083.0,0.991344131888493,fdr_core_strong,strong (FDR-core)
ENSG00000134802,SLC43A3,t2d,-1.2848300475914,2.11273003586211e-05,0.0018091360559188,1.881e-07,11.1153,4506.0,0.808063064750859,fdr_core_strong,strong (FDR-core)
ENSG00000145375,SPATA5,t2d,-1.31552092693078,2.03276427768894e-05,0.0017704160674914,2.027e-08,6.3784,3848.0,0.915979967524608,fdr_core_strong,strong (FDR-core)
ENSG00000205238,SPDYE2,t2d,0.186481598719547,1.32197538221379e-05,0.0013887555819338,5.986e-07,16.0999,2514.0,0.963069543303599,fdr_core_strong,strong (FDR-core)
ENSG00000266173,STRADA,t2d,-0.550391270548991,7.68577425107161e-07,0.0001374000695059,3.949e-08,12.8404,2073.0,0.846610519783832,fdr_core_strong,strong (FDR-core)
ENSG00000161277,THAP8,t2d,-0.326976906927922,1.69871951840933e-05,0.0015822115772619,1.012e-05,19.4344,2743.0,0.950912141070468,fdr_core_strong,strong (FDR-core)
ENSG00000252118,U6atac,t2d,0.816398006299582,1.70637513329084e-11,1.4489968840194717e-08,1.966e-17,4.843,4152.0,0.957066021312353,fdr_core_strong,strong (FDR-core)
ENSG00000198492,YTHDF2,t2d,-0.226647752028734,1.40892452880734e-05,0.0014422604863978,7.602e-06,14.9962,2237.0,0.910657101380508,fdr_core_strong,strong (FDR-core)
ENSG00000186130,ZBTB6,t2d,0.741903636461249,1.81247648978056e-05,0.0016344367637932,6.202e-07,13.11,3211.0,0.913584973669545,fdr_core_strong,strong (FDR-core)
ENSG00000130856,ZNF236,t2d,-0.333261801246451,1.41536848517948e-05,0.0014422604863978,2.137e-06,18.9152,5114.0,0.935529413476269,fdr_core_strong,strong (FDR-core)
ENSG00000196378,ZNF34,t2d,0.224923137663057,1.94079210840636e-06,0.0002951742027561,1.618e-08,29.5609,239.0,0.837476902458287,fdr_core_strong,strong (FDR-core)
