"GeneName","n_eqtl","min_p","islet_available"
"MYLK4",1,1.11637e-06,TRUE
"RP11-420G6.4",1,1.12945e-66,TRUE
"RGS7BP",2,5.51059e-11,TRUE
"CTC-534A2.2",2,4.09897e-07,TRUE
"TNFRSF14",2,1.70274e-17,TRUE
"HSPB7",2,4.53474e-19,TRUE
"RP11-108M9.4",2,6.23418e-11,TRUE
"MFAP2",2,9.3268e-13,TRUE
"LINC01011",1,1.29672e-09,TRUE
"NQO2",1,8.11256e-39,TRUE
"RP1-90J20.12",1,4.38249e-82,TRUE
"TUBB2A",1,2.66989e-09,TRUE
"RP11-428J1.4",1,1.10667e-09,TRUE
"LYRM4",1,2.50144e-24,TRUE
"NRN1",1,1.62208e-06,TRUE
"RIOK1",1,8.32387e-07,TRUE
"TXNDC5",1,1.83353e-14,TRUE
"BLOC1S5-TXNDC5",1,3.54062e-14,TRUE
"RP11-314C16.1",1,7.42682e-13,TRUE
"GCNT2",1,3.44091e-11,TRUE
"TMEM14C",1,1.98786e-10,TRUE
"ADTRP",1,3.94996e-07,TRUE
"TBC1D7",1,3.77268e-07,TRUE
"SIRT5",1,1.53241e-06,TRUE
"RNF182",1,3.38849e-16,TRUE
"TPMT",1,9.68992e-10,TRUE
"KDM1B",1,1.58196e-06,TRUE
"RP3-471C18.2",1,6.12784e-08,TRUE
"RP4-625H18.2",1,5.6388e-54,TRUE
"MBOAT1",1,1.02226e-06,TRUE
"MRS2",1,1.55372e-11,TRUE
"ALDH5A1",1,4.12053e-07,TRUE
"GPLD1",1,2.62467e-06,TRUE
"TDP2",1,6.76307e-07,TRUE
"ACOT13",1,9.28888e-10,TRUE
"C6orf62",1,1.20674e-06,TRUE
"LRRC16A",1,6.36263e-15,TRUE
"SCGN",1,2.23065e-06,TRUE
"SLC17A4",1,4.31976e-09,TRUE
"SLC17A1",1,3.87303e-10,TRUE
"TRIM38",1,1.54334e-14,TRUE
"U91328.19",1,1.1798e-09,TRUE
"HIST1H2AE",1,1.48034e-10,TRUE
"BTN3A2",1,5.13354e-40,TRUE
"BTN2A2",1,1.49186e-11,TRUE
"HCG11",1,1.8161e-06,TRUE
"ZNF322",1,3.81318e-17,TRUE
